MidiFile.mid
@342, Channel 9, Program change: Piano 1     
@39734, Channel 4, Note off:    3
@39737, Channel 5, Note on:     5
@39748, Channel 4, Note on:     3
@39766, Channel 5, Note off:    5
@39769, Channel 5, Note on:     1
@39809, Channel 5, Note off:    1
@39812, Channel 5, Note on:     6
@39834, Channel 4, Note off:    3
@39839, Channel 5, Note off:    6
@39843, Channel 4, Note on:     3
@39849, Channel 5, Note on:     6
@39879, Channel 5, Note off:    6
@39882, Channel 5, Note on:     6
@39913, Channel 5, Note off:    6
@39916, Channel 5, Note on:     6
@39929, Channel 4, Note off:    3
@39939, Channel 4, Note on:     1
@39953, Channel 5, Note off:    6
@39956, Channel 5, Note on:     6
@40026, Channel 4, Note off:    1
@40034, Channel 4, Note on:     1
@40050, Channel 5, Note off:    6
@40064, Channel 5, Note on:     5
@40097, Channel 5, Note off:    5
@40100, Channel 5, Note on:     5
@40118, Channel 4, Note off:    1
@40123, Channel 5, Note off:    5
@40126, Channel 5, Note on:     1
@40131, Channel 4, Note on:     1
@40160, Channel 5, Note off:    1
@40163, Channel 5, Note on:     6
@40193, Channel 5, Note off:    6
@40196, Channel 5, Note on:     6
@40216, Channel 4, Note off:    1
@40225, Channel 5, Note off:    6
@40226, Channel 4, Note on:     1
@40228, Channel 5, Note on:     6
@40262, Channel 5, Note off:    6
@40265, Channel 5, Note on:     6
@40304, Channel 5, Note off:    6
@40307, Channel 5, Note on:     6
@40311, Channel 4, Note off:    1
@40326, Channel 4, Note on:     2
@40355, Channel 5, Note off:    6
@40358, Channel 5, Note on:     6
@40500, Channel 4, Note off:    2
@40512, Channel 4, Note on:     2
@40550, Channel 4, Note off:    2
@40560, Channel 4, Note on:     2
@40567, Channel 5, Note off:    6
@40596, Channel 4, Note off:    2
@40608, Channel 5, Note on:     1
@40609, Channel 4, Note on:     1
@40650, Channel 4, Note off:    1
@40657, Channel 5, Note off:    1
@40660, Channel 5, Note on:     6
@40661, Channel 4, Note on:     2
@40695, Channel 4, Note off:    2
@40704, Channel 5, Note off:    6
@40710, Channel 4, Note on:     2
@40711, Channel 5, Note on:     5
@40804, Channel 5, Note off:    5
@40807, Channel 5, Note on:     1
@40853, Channel 5, Note off:    1
@40856, Channel 5, Note on:     6
@40871, Channel 4, Note off:    2
@40896, Channel 4, Note on:     3
@40900, Channel 5, Note off:    6
@40906, Channel 5, Note on:     5
@40934, Channel 4, Note off:    3
@40944, Channel 4, Note on:     2
@40980, Channel 4, Note off:    2
@40993, Channel 4, Note on:     2
@40993, Channel 5, Note off:    5
@40996, Channel 5, Note on:     1
@41034, Channel 4, Note off:    2
@41041, Channel 5, Note off:    1
@41044, Channel 5, Note on:     6
@41045, Channel 4, Note on:     1
@41079, Channel 4, Note off:    1
@41092, Channel 5, Note off:    6
@41095, Channel 4, Note on:     1
@41103, Channel 5, Note on:     6
@41323, Channel 4, Note off:    1
@41373, Channel 5, Note off:    6
@41375, Channel 4, Note on:     3
@41376, Channel 5, Note on:     4
@41426, Channel 5, Note off:    4
@41429, Channel 5, Note on:     5
@41438, Channel 4, Note off:    3
@41470, Channel 5, Note off:    5
@41473, Channel 4, Note on:     3
@41477, Channel 5, Note on:     5
@41645, Channel 4, Note off:    3
@41662, Channel 5, Note off:    5
@41670, Channel 5, Note on:     6
@41675, Channel 4, Note on:     1
@41847, Channel 4, Note off:    1
@41859, Channel 5, Note off:    6
@41861, Channel 4, Note on:     2
@41862, Channel 5, Note on:     5
@42078, Channel 4, Note off:    2
@42116, Channel 4, Note on:     2
@42138, Channel 5, Note off:    5
@42150, Channel 5, Note on:     5
@42158, Channel 4, Note off:    2
@42179, Channel 4, Note on:     2
@42223, Channel 4, Note off:    2
@42240, Channel 5, Note off:    5
@42242, Channel 4, Note on:     2
@42246, Channel 5, Note on:     5
@42419, Channel 4, Note off:    2
@42430, Channel 5, Note off:    5
@42431, Channel 4, Note on:     2
@42438, Channel 5, Note on:     4
@42587, Channel 4, Note off:    2
@42617, Channel 5, Note off:    4
@42620, Channel 4, Note on:     2
@42626, Channel 5, Note on:     3
@42627, Channel 5, Note on:     3
@42676, Channel 5, Note off:    3
@42677, Channel 5, Note off:    3
@42678, Channel 4, Note off:    2
@56636, Channel 4, Note on:     2
@56640, Channel 5, Note on:     2
@56654, Channel 5, Note on:     3
@57416, Channel 5, Note on:     2
@57419, Channel 5, Note on:     2
@58035, Channel 4, Note on:     2
@58067, Channel 5, Note off:    2
@58069, Channel 5, Note off:    3
@58069, Channel 4, Note off:    2
